variant,source_country,target_country,date_start,date_end,undercounting_multiplier_source,undercounting_multiplier_target,Ne,Ve,Cum_cases,PopFullyVax,pop,Rt
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.95,2.88,0,0,134911.0,0,38155012.0,1.62
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.95,3.48,0,0,134911.0,0,38155012.0,1.62
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.27,2.88,0,0,134911.0,0,38155012.0,2.63
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.27,3.48,0,0,134911.0,0,38155012.0,2.63
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.95,2.88,0,0,134911.0,0,38155012.0,2.63
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.95,3.48,0,0,134911.0,0,38155012.0,2.63
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.27,1.85,0,0,44654.0,0,8691406.0,1.05
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.27,2.43,0,0,44654.0,0,8691406.0,1.05
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.95,1.85,0,0,44654.0,0,8691406.0,1.05
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.95,2.43,0,0,44654.0,0,8691406.0,1.05
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.27,1.85,0,0,44654.0,0,8691406.0,1.62
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.27,2.43,0,0,44654.0,0,8691406.0,1.62
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.95,1.85,0,0,44654.0,0,8691406.0,1.62
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.95,2.43,0,0,44654.0,0,8691406.0,1.62
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.27,1.85,0,0,44654.0,0,8691406.0,2.63
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.27,2.43,0,0,44654.0,0,8691406.0,2.63
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.95,1.85,0,0,44654.0,0,8691406.0,2.63
B.1.1.7,GBR,CHE,2020-09-09,2020-11-16,2.95,2.43,0,0,44654.0,0,8691406.0,2.63
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.27,2.41,0,0,426992.0,0,19493184.0,1.05
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.27,2.83,0,0,426992.0,0,19493184.0,1.05
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.95,2.41,0,0,426992.0,0,19493184.0,1.05
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.95,2.83,0,0,426992.0,0,19493184.0,1.05
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.27,2.41,0,0,426992.0,0,19493184.0,1.62
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.27,2.83,0,0,426992.0,0,19493184.0,1.62
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.95,2.41,0,0,426992.0,0,19493184.0,1.62
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.95,2.83,0,0,426992.0,0,19493184.0,1.62
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.27,2.41,0,0,426992.0,0,19493184.0,2.63
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.27,2.83,0,0,426992.0,0,19493184.0,2.63
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.95,2.41,0,0,426992.0,0,19493184.0,2.63
B.1.1.7,GBR,CHL,2020-09-09,2020-12-28,2.95,2.83,0,0,426992.0,0,19493184.0,2.63
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.27,5.13,0,0,686842.0,0,51516562.0,1.05
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.27,6.72,0,0,686842.0,0,51516562.0,1.05
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.95,5.13,0,0,686842.0,0,51516562.0,1.05
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.95,6.72,0,0,686842.0,0,51516562.0,1.05
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.27,5.13,0,0,686842.0,0,51516562.0,1.62
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.27,6.72,0,0,686842.0,0,51516562.0,1.62
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.95,5.13,0,0,686842.0,0,51516562.0,1.62
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.95,6.72,0,0,686842.0,0,51516562.0,1.62
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.27,5.13,0,0,686842.0,0,51516562.0,2.63
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.27,6.72,0,0,686842.0,0,51516562.0,2.63
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.95,5.13,0,0,686842.0,0,51516562.0,2.63
B.1.1.7,GBR,COL,2020-09-09,2021-03-08,2.95,6.72,0,0,686842.0,0,51516562.0,2.63
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.27,4.74,0,0,51202.0,0,5153957.0,1.05
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.27,8.43,0,0,51202.0,0,5153957.0,1.05
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.95,4.74,0,0,51202.0,0,5153957.0,1.05
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.95,8.43,0,0,51202.0,0,5153957.0,1.05
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.27,4.74,0,0,51202.0,0,5153957.0,1.62
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.27,8.43,0,0,51202.0,0,5153957.0,1.62
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.95,4.74,0,0,51202.0,0,5153957.0,1.62
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.95,8.43,0,0,51202.0,0,5153957.0,1.62
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.27,4.74,0,0,51202.0,0,5153957.0,2.63
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.27,8.43,0,0,51202.0,0,5153957.0,2.63
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.95,4.74,0,0,51202.0,0,5153957.0,2.63
B.1.1.7,GBR,CRI,2020-09-09,2021-02-22,2.95,8.43,0,0,51202.0,0,5153957.0,2.63
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.27,4.73,0,0,30942.0,0,10510750.0,1.05
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.27,6.78,0,0,30942.0,0,10510750.0,1.05
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.95,4.73,0,0,30942.0,0,10510750.0,1.05
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.95,6.78,0,0,30942.0,0,10510750.0,1.05
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.27,4.73,0,0,30942.0,0,10510750.0,1.62
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.27,6.78,0,0,30942.0,0,10510750.0,1.62
