ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
GNQ,311320.72,69480.9100000001,822480.57,3472,89.6661059907834,20.0117828341014,236.889565092166
GRC,543750.45,447177.64,716671.7,284604.712,1.91054619643824,1.57122359941813,2.51813012849907
GTM,3776213.3,2776300.71,4815516.39,154844.285,24.3871661133635,17.9296298213396,31.0990902247377
GUY,143209.33,42538.47,242505.85,13524.85,10.5886076370533,3.14520826478667,17.9303910949105
HKG,10823.13,4019.95,15465.92,3250.86,3.32931285875122,1.23658047408993,4.75748571147327
HND,3793293.71,2549630.84,5964861.66,139909.431,27.1124947252484,18.2234379896806,42.6337353912904
HRV,672157.16,553350.84,834849.210000001,153304.002,4.38447236361123,3.60950029210587,5.44571047792999
HTI,2599182.59,787681.85,4236302.08,8165.008,318.3319097789,96.4704321171517,518.836243638708
HUN,2335317.87,1835199.34,3002117.9,490562.429,4.76049067752802,3.74101078988256,6.11974689158268
IDN,57815035.08,36098322.45,75462889.78,1394557.282,41.457626607553,25.8851485815123,54.1124346443304
IND,599691865.3,494363881.8,725094108.1,20047729.146,29.9132066745651,24.6593456146447,36.1683910840682
IRL,336564.24,252026.18,453106.21,183667.337,1.83246648803973,1.37218834941784,2.46699395440137
IRN,15754542.97,9904477.81,19709413.09,1963840.004,8.02231492275885,5.04342400084849,10.0361603032097
IRQ,5646082.01,920598,14556658.62,734696.576,7.68491673221028,1.25303156442096,19.8131570168091
ISL,1402.19,1003.3,2166.1,924.588,1.5165565635721,1.08513197229469,2.3427732135827
ISR,555895.54,459082.32,708071.889999999,433543.209,1.28221484839358,1.05890787923748,1.63322103841327
ITA,4053143.19,3054976.29,4972128.92,2196511.29,1.84526399133601,1.39083113476735,2.26364824193551
JAM,209371.66,102251.52,317366.91,37267.004,5.61815111297919,2.74375477030566,8.51602962234367
JOR,4009186.97,3088610.04,4859420.3,460171.863,8.7123687742725,6.71186199839428,10.5600117928114
JPN,2459611,1722555.05,3392010.43,570602.149,4.3105533414316,3.01883729849044,5.94461558889081
KAZ,2346990.69,1283169.18,3581417.77,277792.279,8.44872542335851,4.61916790711091,12.8924309303787
KEN,18487672.35,13299090.09,26010150.1,86634.717,213.397965506138,153.507630087832,300.227795515278
KGZ,1126196.23,118036.32,2147089.91,40595.149,27.7421381062057,2.90764593572498,52.8903074108682
KHM,1566497.54,912449.96,2146495.44,47356.995,33.0784827035583,19.26748012622,45.3258370806678
KOR,217230.48,185180.94,266965.63,96897.004,2.2418699343893,1.91111110102021,2.7551484460758
KWT,933442.36,580603.01,1293204.64,201669.431,4.62857635572939,2.87898372659166,6.4124970928291
LBN,1248508.55,980763.33,1733377.06,370685.57,3.36810669484653,2.64580930409565,4.6761384857792
LBR,980160.84,431935.22,2670418.07,1774.288,552.424882544435,243.44143679042,1505.06460619697
LBY,1452778.85,779833.06,2314476.91,93674.854,15.5087388767107,8.32489218504679,24.7075582311556
LKA,1541103.58,1193841.62,2044892.22,212041.564,7.26793158345126,5.63022455352197,9.64382728284347
LSO,427813.97,242331.89,671698.32,8345.279,51.2641902086197,29.0382011194593,80.4884198598992
LTU,499008.61,305924.61,736094.72,144472.713,3.45399902609983,2.11752519660927,5.0950432418335
LUX,41459.87,28456.29,53547.39,24873.712,1.666814748036,1.14403069393101,2.15277036254179
LVA,367054.72,274175.05,498493.29,99798.143,3.67797144281532,2.74729610950777,4.99501568881898
MAR,2113580.54,961284.26,3562512.74,96010.719,22.0140059569807,10.0122597769526,37.1053646624602
MDA,511954.06,320265.88,809625.74,114275.708,4.47999027054814,2.8025718291765,7.08484553865114
MDG,10447807.16,8618220.28999999,12317277.67,24504.146,426.368956502299,351.70457644188,502.66096480163
MDV,101030.11,40667.84,169572.22,59613.14,1.69476242989381,0.682195905130983,2.84454434039207
MEX,24153040.68,20790997.53,28512442.81,1110949.718,21.7408945595501,18.7146161461107,25.6649264570946
MKD,586630.93,237219.73,1059662.91,73633.1419999999,7.96694143514887,3.22164345506267,14.3911135830656
MLI,7261990.85,5353111.62000001,10034073.19,7655.569,948.58930146146,699.244121501616,1310.68940662673
MLT,25207.15,20364.68,31626.7,18168.855,1.38738241898017,1.12085654269353,1.74070958241452
MMR,4050008.83,2403253.56,6435080.48,31056.14,130.409279131276,77.3841681548319,207.20799429678
MNE,116141.98,83582.65,153086.19,53136.006,2.18574915096178,1.57299459052304,2.8810255328562
MNG,853868.17,524724.46,1215515.58,108120.853,7.89734955198698,4.85312911839495,11.2421937699659
MOZ,5069726.75,2314182.04,10865621.48,56768.551,89.3051991057514,40.7652124148809,191.402128266406
MRT,241273.71,52606.36,506665.42,6829.43,35.3285281494942,7.70289174938465,74.1885369642854
MWI,8528924.98,6640549.81,11127269.58,29238.141,291.705446662973,227.119426300051,380.573771088935
MYS,3073472.99,1878743.81,4449150.87,627086.15,4.90119737136596,2.99598996086901,7.09495955220826
NAM,1028010.2,585441.62,1671329.09,62088.003,16.5573081807769,9.42922290478565,26.9187122993793
NER,2133892.84,1129700.54,3593231.23,2328.142,916.564728440104,485.23695719591,1543.39006383631
NGA,36480709.82,29034297.78,44697084.73,82452.152,442.447030612372,352.135112010175,542.097248474485
NLD,1103043.86,977642.08,1245427.53,905855.14,1.21768239897607,1.07924770399823,1.37486389932059
NOR,99558.0799999999,84844.32,121605.63,82909,1.20081149211786,1.02334270103366,1.46673618063178
NPL,13462559.02,9201266.47999999,21891339.22,375053.72,35.895015306074,24.5331961512073,58.368543098306
NZL,2359.77,1905.09,3013.27,594.189,3.97141313622433,3.20620206701908,5.07123154417197
OMN,1080652.13,824274.61,1438185.45,133033.429,8.12316226171995,6.19599612064424,10.810707209539
OWID_WRL,1476591558.93,1281286028.89,1679445921.57,100317521.721,14.7191789988259,12.7723054448402,16.7413019456444
PAK,54076201.0999999,35254996.38,78444149.3,480139.427,112.626037478068,73.4265806919455,163.377854199838
PAN,367402.44,263010.12,469655.49,165217.422,2.22375119737675,1.5919030621359,2.84265112186534
PER,9934702.85000001,7850834.15,12075896.89,1037150.428,9.57884467073662,7.5696195441381,11.6433417602562
PHL,24285116.08,12264648.69,30861700.26,926022.428,26.225192118133,13.2444402199727,33.327162849235
PNG,2301635.03,979696.27,3262848.45,16312.571,141.095786188455,60.0577474881182,200.020490332272
POL,9811880.58,7763652.25,11741817.63,1612950.566,6.08318741245292,4.81332311953819,7.27971326431835
PRT,871453.57,684231.729999999,1192492.76,475058.996,1.8344112569968,1.44030896322612,2.51019930164632
PRY,2634621.21,1571600.09,3708442.32,312816.143,8.42226742115416,5.02403768209622,11.8550222006925
