ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
BLZ,92913.46,29655.17,146967.71,10590.573,8.77322312966447,2.80014782958391,13.8772198633634
BOL,4262386.04,3154894.56,5561537.54,125828.855,33.8744721153188,25.0729020779852,44.1992223484828
BRA,35160111.7,32146359.2,38076755.2,6233217.853,5.64076413326027,5.15726546995758,6.10868352398014
BRB,2276.54,1550.8,3014.54,266.714,8.53550994698441,5.81446793194208,11.3025188029125
BWA,175217.36,91225.88,273049.61,14109.723,12.4181998470133,6.46546214975305,19.3518760077714
CAF,259869.17,113861.95,541330.52,1539.997,168.746543012746,73.9364752009257,351.514009442876
CAN,1473105.34,1337048.79,1616777.07,464705.997,3.16997273439533,2.8771928889052,3.47913967204516
CHE,864284.07,751768.28,985717.2,406389.862,2.1267362963892,1.84986967022322,2.42554574355991
CHL,875113.68,806890.25,949080.840000001,334898.141,2.61307416454127,2.40936019408958,2.83393881245821
CHN,51529.14,36821.85,64320.15,6575.853,7.83611494964989,5.59955491705791,9.7812633585331
CIV,3730078.59,2614397.1,4824914.36,13446.617,277.39903575747,194.42786985009,358.819944079615
CMR,1958382.14,1481445.61,2708919.73,13685.005,143.10423269849,108.253201953525,197.948026325164
COD,20912189.34,13948140.33,28542618.59,10362.289,2018.10520243162,1346.0481878087,2754.47042540504
COG,1264612.83,606153.56,2195536.65,5801.295,217.988023363749,104.485905302178,378.45630156715
COL,9184616.45,7788874,10196205.19,1518081.29,6.05014797988848,5.13073578556521,6.71650804022491
CPV,218731.85,45894.49,476666.22,10649.855,20.5384815098422,4.30940045662594,44.7580009305291
CRI,1061297.22,770557.48,1370005.57,162584.856,6.52765113621652,4.73941730464737,8.42640331766201
CUB,43048.4,30657.65,56853.03,9059.996,4.75148112648173,3.38384807233911,6.27517164466739
CYP,39845.47,30375.57,51919.59,19264.286,2.06835955404732,1.57678151165322,2.69512142832597
CZE,3715722.43,3178055.34,4558744.66,671930.147,5.52992367821234,4.7297406645456,6.7845514602279
DEU,4520056.79,3939270.74,5093542.32,1464749.281,3.08589111367517,2.68938226568756,3.4774158185779
DJI,104504.3,25464.2,282825.67,1167.293,89.5270510488798,21.8147457407866,242.291926705634
DNK,265412.38,236301.09,305241.69,143433.436,1.85042196158502,1.64746168389914,2.12810693595878
DOM,1295470.49,684016.1,1834899.07,137122.999,9.4475069787527,4.98833970222603,13.3814099996457
DZA,3977006.1,2626313.21,6361356.55,85569.994,46.4766434364832,30.6919877778652,74.3409722571676
ECU,4348045.04,2431407.35,7056420.42,164724.782,26.3958160223882,14.7604223267389,42.8376370229465
EGY,16286104.36,11221484.41,27018554.77,70028.427,232.564189396972,160.241845929225,385.82267127034
ESP,3559604.69,3056042.11,4028880.93,1634041.996,2.17840465466225,1.87023474150661,2.46559203488183
EST,66016.56,52718.76,73596.76,24062.29,2.74356929452683,2.19092862732516,3.05859334252891
ETH,33308665.24,26877852.78,39935902.1,117603.568,283.228356132869,228.546235774071,339.580701327022
FIN,109263.94,84254.69,139449.29,28346.861,3.85453401701162,2.97227583682017,4.91939089834321
FJI,13677.32,8449.32,17942.25,29.301,466.786799085355,288.362854510085,612.34258216443
